root_id,cell_type,top_nt,side
720575940641832333,DNg52,gaba,left
720575940611644529,DNp06,acetylcholine,right
720575940629327659,DNa02,acetylcholine,left
720575940615043368,DNp22,acetylcholine,left
720575940627582724,DNp44,acetylcholine,left
720575940631549202,DNg86,dopamine,right
720575940638013274,DNpe006,acetylcholine,right
720575940637667443,DNg08_a,glutamate,left
720575940615058216,DNpe012,acetylcholine,left
720575940647964281,DNg02_b,acetylcholine,right
720575940611772083,DNg43,acetylcholine,left
720575940618291520,DNge060,glutamate,right
720575940626901136,DNg40,glutamate,left
720575940629155227,DNpe021,acetylcholine,right
720575940607632579,DNpe047,acetylcholine,left
720575940637660733,DNg01,acetylcholine,left
720575940635640312,DNp62,serotonin,left
720575940629782072,DNpe012,acetylcholine,left
720575940613200706,DNpe008,acetylcholine,right
720575940647471395,DNpe036,acetylcholine,left
720575940621226484,DNb04,glutamate,right
720575940619332944,DNg99,gaba,right
720575940638175558,DNge072,acetylcholine,right
720575940621401222,DNpe025,acetylcholine,right
720575940632043320,DNge130,acetylcholine,right
720575940629965708,DNge091,glutamate,right
720575940638664355,DNg46,glutamate,left
720575940633995181,DNg53,acetylcholine,left
720575940620815896,DNge071,glutamate,left
720575940619090541,DNpe009,acetylcholine,left
720575940631627551,DNge115,acetylcholine,left
720575940637126007,DNp56,acetylcholine,right
720575940624882151,DNge094,serotonin,right
720575940636592302,DNpe019,acetylcholine,right
720575940619451989,DNpe033,gaba,left
720575940627652358,DNp09,acetylcholine,right
720575940631051065,DNge116,acetylcholine,left
720575940613686954,DNge081,acetylcholine,left
720575940621325034,DNg04,acetylcholine,right
720575940644758308,DNge046,gaba,left
720575940633041503,DNg06,acetylcholine,right
720575940639919824,DNpe010,glutamate,left
720575940621388453,DNd02,serotonin,left
720575940619944513,DNg10,glutamate,right
720575940626165489,DNpe008,acetylcholine,right
720575940618382529,DNp16,acetylcholine,left
720575940646173748,oviDNa_b,acetylcholine,right
720575940610231509,DNg90,gaba,left
720575940614736034,DNge140,acetylcholine,right
720575940631110095,DNg80,serotonin,right
720575940611756723,DNg65,serotonin,right
720575940615679282,DNg02_h,acetylcholine,right
720575940611981029,DNg111,glutamate,right
720575940611610670,DNge091,acetylcholine,left
720575940614478658,DNg36_b,acetylcholine,left
720575940605950496,DNg76,acetylcholine,left
720575940614363619,DNpe047,acetylcholine,right
720575940611108676,DNge138,octopamine,center
720575940626278129,DNg02_f,acetylcholine,left
720575940650282742,DNge005,acetylcholine,left
720575940639088216,DNge030,acetylcholine,left
720575940624407944,DNp36,glutamate,left
720575940624394498,DNg12_a,acetylcholine,left
720575940652104694,DNge128,gaba,right
720575940628467830,DNg106,glutamate,right
720575940607971337,DNpe012,acetylcholine,left
720575940644653348,DNge031,gaba,right
720575940630671734,DNp17,acetylcholine,left
720575940614185366,DNpe034,acetylcholine,right
720575940619582168,DNb04,glutamate,left
720575940604783136,DNg56,gaba,left
720575940638088511,DNge084,gaba,right
720575940642545883,DNg32,acetylcholine,left
720575940614403178,DNae005,acetylcholine,right
720575940629777018,DNp11,acetylcholine,right
720575940610872014,DNge011,acetylcholine,right
720575940634903915,DNg69,acetylcholine,right
720575940617917396,DNbe003,acetylcholine,left
720575940635210603,DNpe052,acetylcholine,right
720575940626179614,DNg72,glutamate,right
720575940628132745,DNp31,acetylcholine,right
720575940622352764,DNg18_b,glutamate,left
720575940632302151,DNge019,acetylcholine,left
720575940628885160,DNpe049,acetylcholine,right
720575940623142426,DNpe043,acetylcholine,left
720575940622161366,DNge054,gaba,right
720575940617922439,DNg02_g,acetylcholine,right
720575940630990533,DNge091,acetylcholine,right
720575940618876830,DNg06,acetylcholine,right
720575940628869648,DNge077,acetylcholine,right
720575940621313414,DNge038,acetylcholine,left
720575940618698411,DNg06,acetylcholine,right
720575940645537902,DNde001,glutamate,left
720575940621119061,DNbe002,acetylcholine,left
720575940631333195,DNd05,acetylcholine,left
720575940614587990,DNpe009,acetylcholine,right
720575940632574946,DNge113,acetylcholine,left
720575940618427156,DNge113,acetylcholine,right
720575940630428324,DNpe029,acetylcholine,left
720575940626665489,DNpe054,acetylcholine,left
720575940630346860,DNp54,gaba,left
720575940615794077,DNpe015,acetylcholine,left
720575940632646114,DNpe046,acetylcholine,left
720575940631124076,DNge134,glutamate,right
720575940620017261,DNge009,acetylcholine,right
720575940628498161,DNp08,glutamate,left
720575940622843530,DNpe031,glutamate,right
720575940624374334,DNge093,acetylcholine,left
720575940637608560,DNa14,acetylcholine,right
720575940626189657,DNge126,serotonin,left
720575940609407939,DNge080,acetylcholine,right
720575940623153788,DNpe014,acetylcholine,left
720575940643817888,DNg04,acetylcholine,left
720575940630980559,DNg28,octopamine,right
720575940633213132,DNpe054,acetylcholine,right
720575940641276917,DNae004,acetylcholine,right
720575940620082512,DNge049,acetylcholine,right
720575940622797244,DNg12_c,acetylcholine,left
720575940638094911,DNge091,acetylcholine,right
720575940635464343,DNpe004,acetylcholine,left
720575940620468718,DNp02,acetylcholine,right
720575940629725545,DNge091,acetylcholine,left
720575940605702944,DNpe040,acetylcholine,right
720575940611225237,DNg58,acetylcholine,left
720575940615453182,DNg07,acetylcholine,left
720575940627814522,DNg12_e,acetylcholine,left
720575940635210859,DNpe007,serotonin,left
720575940607384242,DNge149,octopamine,center
720575940623537485,DNge118,acetylcholine,left
720575940620642940,DNpe002,acetylcholine,right
720575940632379071,DNpe054,serotonin,right
720575940622681864,DNg02_b,,left
720575940625094325,DNae008,acetylcholine,left
720575940620714150,DNge046,gaba,right
720575940637678653,DNg92_b,acetylcholine,right
720575940617663093,DNg51,acetylcholine,right
720575940653053601,DNg03,acetylcholine,left
720575940629421159,DNp12,acetylcholine,right
720575940644666660,DNg27,glutamate,right
720575940636098367,DNge071,glutamate,right
720575940622805700,DNge154,gaba,right
720575940644279319,DNpe028,acetylcholine,right
720575940648188548,DNg54,acetylcholine,right
720575940614186449,DNg44,glutamate,left
720575940603591014,DNae004,acetylcholine,left
720575940648636292,DNb09,glutamate,right
720575940630956345,DNg66,acetylcholine,center
720575940634198926,DNge019,acetylcholine,left
720575940636308075,DNge078,acetylcholine,left
720575940610236514,MDN,acetylcholine,right
720575940633201400,DNge015,acetylcholine,right
720575940616826380,DNb09,glutamate,left
720575940604954289,DNp04,acetylcholine,left
720575940612586151,DNge017,glutamate,right
720575940622806247,DNge085,gaba,right
720575940625420986,DNp101,acetylcholine,right
720575940631982952,DNge132,acetylcholine,left
720575940643347616,DNp55,acetylcholine,left
720575940640589171,DNge031,gaba,left
720575940617249254,DNge086,acetylcholine,right
720575940634428058,DNge043,gaba,right
720575940630712493,DNg18_b,glutamate,left
720575940627732361,DNp26,acetylcholine,right
720575940634825879,DNge045,acetylcholine,right
720575940634140883,DNa09,acetylcholine,left
720575940630839371,DNge146,gaba,left
720575940629012227,DNg81,glutamate,right
720575940616401467,DNg08_a,glutamate,left
720575940609844117,DNg18_b,glutamate,right
720575940610348458,DNg110,,left
720575940644751652,DNg34,octopamine,right
720575940631643532,DNg77,acetylcholine,right
720575940622351996,DNge019,acetylcholine,right
720575940631498925,DNg18_b,glutamate,right
720575940626732776,DNg08_a,glutamate,left
720575940645834275,DNge013,serotonin,right
720575940617950877,DNge063,gaba,right
720575940632296519,DNge079,acetylcholine,right
720575940614588778,DNg12_e,acetylcholine,right
720575940621021278,DNg18_a,glutamate,left
720575940651341558,DNae010,acetylcholine,left
720575940615385798,DNge085,glutamate,left
720575940642312136,oviDNa_a,acetylcholine,right
720575940636333710,DNge064,acetylcholine,left
720575940617750070,DNp39,acetylcholine,left
720575940625513360,DNp52,acetylcholine,right
720575940629240263,DNge041,acetylcholine,right
720575940626268761,DNge144,acetylcholine,right
720575940630569413,DNge071,acetylcholine,right
720575940624234242,DNg10,glutamate,left
720575940613814971,DNge071,glutamate,left
720575940620595883,DNg10,glutamate,right
720575940630135084,DNge053,acetylcholine,right
720575940640422016,DNge071,glutamate,left
720575940616167986,DNge151,serotonin,center
720575940615043222,DNae007,acetylcholine,right
720575940620711334,DNa09,acetylcholine,right
720575940627303699,DNg10,glutamate,right
720575940612603289,DNg75,acetylcholine,right
720575940617689816,DNg10,glutamate,left
720575940621572890,DNg07,acetylcholine,left
720575940615023535,DNge062,acetylcholine,right
720575940630033913,DNge114,acetylcholine,right
720575940620757748,DNpe041,gaba,left
720575940633218444,DNge023,acetylcholine,right
720575940619928346,DNg06,acetylcholine,left
720575940624349993,DNp70,acetylcholine,left
720575940614682274,DNge090,glutamate,right
720575940615607207,DNc01,dopamine,right
720575940623203004,DNp17,serotonin,left
720575940626982181,DNge107,acetylcholine,left
720575940626639259,DNg10,glutamate,left
720575940622786317,DNge085,glutamate,left
720575940620915224,DNge089,acetylcholine,right
720575940611886289,DNpe008,serotonin,left
720575940629312300,DNp56,acetylcholine,left
720575940610341582,DNge089,acetylcholine,left
720575940632041247,DNge015,serotonin,left
720575940614046395,DNge092,acetylcholine,left
720575940624655285,DNpe008,,left
720575940614959675,DNge071,acetylcholine,right
720575940618086535,DNge115,acetylcholine,right
720575940619790975,DNpe008,serotonin,left
720575940642369736,DNge115,acetylcholine,left
720575940624537284,DNge124,acetylcholine,left
720575940620632369,DNg18_b,glutamate,left
720575940616548416,DNge085,glutamate,right
720575940629369642,DNg10,glutamate,left
720575940637659749,DNge052,gaba,left
720575940611308181,DNg07,acetylcholine,left
720575940612335539,DNge071,acetylcholine,right
720575940639539840,DNg07,acetylcholine,right
720575940621599604,DNge115,acetylcholine,right
720575940616076917,DNge015,glutamate,right
720575940634279543,DNge116,acetylcholine,right
720575940619372726,DNge114,acetylcholine,right
720575940623052728,DNpe009,acetylcholine,right
720575940639201443,DNg02_a,acetylcholine,left
720575940602534112,DNge116,serotonin,right
720575940636186463,DNge092,acetylcholine,right
720575940621339713,DNg07,acetylcholine,right
720575940612288947,DNg07,acetylcholine,right
720575940634599615,DNg18_b,glutamate,right
720575940621304004,DNg36_b,acetylcholine,right
720575940625596647,DNge071,gaba,left
720575940623968612,DNge085,glutamate,right
720575940611552370,DNge115,acetylcholine,right
720575940611765201,DNge071,glutamate,right
720575940612429714,DNg07,acetylcholine,left
720575940634864026,DNg01,glutamate,left
720575940629956695,DNg07,acetylcholine,left
720575940625343761,DNge085,glutamate,right
720575940638084149,DNge112,acetylcholine,right
720575940619910080,DNge092,acetylcholine,right
720575940626729295,DNg07,acetylcholine,left
720575940659703937,DNg18_a,glutamate,right
720575940624229925,DNg01,acetylcholine,right
720575940621068464,DNb08,acetylcholine,right
720575940615957663,DNg06,acetylcholine,right
720575940626187014,DNg92_b,acetylcholine,left
720575940626580794,DNge089,acetylcholine,right
720575940616786433,DNge085,glutamate,left
720575940621121159,DNge109,,right
720575940615424966,DNge090,acetylcholine,right
720575940619152856,DNp40,acetylcholine,right
720575940647755641,DNge070,glutamate,left
720575940611102437,DNpe008,acetylcholine,right
720575940610935410,DNge089,acetylcholine,right
720575940625673196,DNp71,acetylcholine,left
720575940622042603,DNg02_c,acetylcholine,left
720575940624015287,DNge075,acetylcholine,left
720575940630290536,DNge108,acetylcholine,right
720575940614107554,DNge118,gaba,right
720575940627021349,DNg110,acetylcholine,left
720575940632573887,DNg02_a,acetylcholine,right
720575940617802699,DNpe008,acetylcholine,left
720575940629742718,DNg09,acetylcholine,right
720575940624750480,DNg24,gaba,left
720575940630829563,DNge094,serotonin,right
720575940618706603,DNpe008,acetylcholine,right
720575940627241321,DNpe054,serotonin,right
720575940620564673,DNg10,glutamate,right
720575940635405719,DNpe012,acetylcholine,right
720575940625065653,DNge091,acetylcholine,left
720575940606756309,DNpe018,acetylcholine,left
720575940640140733,DNge116,acetylcholine,left
720575940622925972,DNg01,acetylcholine,right
720575940660224385,DNg10,acetylcholine,left
720575940637896893,DNge090,acetylcholine,left
720575940609733582,DNge071,glutamate,right
720575940625426469,DNg07,acetylcholine,right
720575940614840715,DNg06,acetylcholine,left
720575940642926702,DNg12_a,acetylcholine,left
720575940626748702,DNge089,acetylcholine,left
720575940612698287,DNg06,acetylcholine,left
720575940622944196,DNge108,acetylcholine,left
720575940606702601,DNge112,acetylcholine,left
720575940621071017,DNge093,acetylcholine,left
720575940621270410,DNpe008,glutamate,right
720575940621909739,DNg01,glutamate,right
720575940627850622,DNg02_g,acetylcholine,left
720575940631651810,DNge071,glutamate,left
720575940625047815,DNge090,acetylcholine,left
720575940621534273,DNge071,gaba,left
720575940606784265,DNge089,glutamate,right
720575940627595772,DNge020,acetylcholine,right
720575940629412170,DNd04,glutamate,left
720575940630078031,DNpe011,acetylcholine,right
720575940636671886,DNge156,acetylcholine,left
720575940609316050,DNpe008,acetylcholine,right
720575940602864300,DNpe008,dopamine,left
720575940608332674,DNpe011,acetylcholine,left
720575940610715346,DNpe035,acetylcholine,right
720575940617802187,DNp17,acetylcholine,left
720575940627629598,DNge142,gaba,left
720575940628252751,DNg07,acetylcholine,left
720575940656144289,DNg110,acetylcholine,right
720575940630505334,DNge095,glutamate,right
720575940630333911,DNge114,serotonin,right
720575940631889965,DNg106,gaba,right
720575940626027752,DNg07,acetylcholine,right
720575940642411917,DNpe054,serotonin,left
720575940620149836,DNg12_b,acetylcholine,right
720575940637501784,DNg12_d,acetylcholine,left
720575940634782359,DNge143,gaba,right
720575940625482954,DNg02_e,acetylcholine,right
720575940617295321,DNge091,acetylcholine,right
720575940625467280,DNpe008,acetylcholine,right
720575940631720417,DNpe009,acetylcholine,left
720575940622123400,DNge091,acetylcholine,left
720575940626745987,DNg07,acetylcholine,left
720575940640630589,DNge094,acetylcholine,left
720575940619431765,DNge071,glutamate,left
720575940619676598,DNge093,acetylcholine,right
720575940630071583,DNp17,acetylcholine,left
720575940628825348,DNge115,acetylcholine,right
720575940613535554,DNg17,acetylcholine,left
720575940626904219,DNg02_b,,left
720575940611976618,DNge111,acetylcholine,left
720575940631721287,DNge126,serotonin,right
720575940634583694,DNge110,glutamate,right
720575940628745209,DNge071,glutamate,right
720575940624816115,DNge033,gaba,left
720575940628942586,DNg02_e,acetylcholine,left
720575940627307625,DNge089,acetylcholine,left
720575940641793440,DNge114,serotonin,right
720575940610440402,DNge085,glutamate,right
720575940622917351,DNpe008,acetylcholine,left
720575940631061900,DNge111,acetylcholine,right
720575940613632153,DNpe009,acetylcholine,right
720575940638623165,DNg82,acetylcholine,left
720575940622633716,DNge041,acetylcholine,left
720575940612804862,DNg01,acetylcholine,right
720575940627003179,DNg05_b,glutamate,right
720575940626088835,DNg110,acetylcholine,left
720575940635222640,DNg110,acetylcholine,right
720575940630289804,DNg02_a,acetylcholine,left
720575940617498507,DNg02_b,glutamate,right
720575940623543117,DNge093,acetylcholine,right
720575940603580960,DNpe054,acetylcholine,left
720575940639479168,DNge114,serotonin,left
720575940644801060,DNg07,acetylcholine,right
720575940610309034,DNge071,gaba,left
720575940627560236,DNpe008,acetylcholine,left
720575940627799802,DNg09,acetylcholine,left
720575940603489824,DNpe015,serotonin,left
720575940622027222,DNge046,gaba,right
720575940608838958,DNg01,acetylcholine,left
720575940613748689,DNp16,acetylcholine,right
720575940638204132,DNge053,acetylcholine,left
720575940622910188,DNg02_f,acetylcholine,right
720575940617696728,DNp17,serotonin,right
720575940632788025,DNge108,acetylcholine,left
720575940621002480,DNge094,serotonin,right
720575940614562207,DNge115,acetylcholine,left
720575940634526560,DNge092,acetylcholine,left
720575940619341744,DNpe008,acetylcholine,left
720575940642198747,DNg92_b,acetylcholine,left
720575940625396252,DNg36_b,acetylcholine,left
720575940618440943,DNg06,acetylcholine,left
720575940622437671,DNpe011,acetylcholine,right
720575940620110215,DNge091,acetylcholine,right
720575940613307033,DNde006,glutamate,left
720575940611498419,DNge111,acetylcholine,left
720575940629472298,DNg09,acetylcholine,right
720575940621071495,DNge091,acetylcholine,right
720575940630297292,DNg09,acetylcholine,left
720575940632989291,DNpe008,acetylcholine,right
720575940627414887,DNg02_b,acetylcholine,right
720575940625144061,DNg02_c,glutamate,right
720575940649992569,DNge091,acetylcholine,right
720575940615898730,DNg106,gaba,right
720575940612019825,DNg12_c,acetylcholine,left
720575940626377349,DNg02_h,acetylcholine,left
720575940613668620,DNg02_b,,left
720575940623776235,DNge117,acetylcholine,right
